id,claim,label,golden_evi,claim_temporal_arguments,evidence_title,evidence_content,processed_claim_some_punctuation,processed_evidence_some_punctuation,claim_named_entities,evidences_named_entities,contradiction_prob,neutral_prob,entailment_prob,all_claim_entities,claim_chunks,all_evidence_entities,evidence_chunks,count_claim_entities,count_evidence_entities,count_claim_named_entities,count_evidence_named_entities,count_claim_nouns,count_evidence_nouns,similarity_score,coref_flag,claim_entities_string,evidence_entities_string,temporal_claim,temporal_evidence,claim_numbers,evidence_numbers,all_entities_similarity,all_chunks_similarity,named_entities_similarity,temporal_similarity,count_claim_numbers,count_evidence_numbers,openai_results,same_entity_label,same_entity_justification,general_facts_label,general_facts_justification,time_label,time_justification,topic,claim_temporal,evidence_temporal,relevant_evidence
67804,George Bernard Shaw wrote the play Major Barbara in 1856.,SUPPORTS,SUPPORTS,['in 1856'],Major_Barbara,"Major Barbara is a three act English play by George Bernard Shaw , written and premiered in 1905 and first published in 1907 .",George Bernard Shaw wrote the play Major Barbara in 1856.,"Major Barbara is a three act English play by George Bernard Shaw, written and premiered in 1905 and first published in 1907.","['George Bernard Shaw', 'Barbara', '1856']","['Barbara', 'three', 'English', 'George Bernard Shaw', '1905', 'first', '1907']",0.9646414518356324,0.033552411943674,0.0018060629954561,"['George Bernard Shaw', 'Barbara']","['George Bernard Shaw', 'the play', 'Major Barbara']","['Barbara', 'three', 'English', 'George Bernard Shaw', 'first']","['Major Barbara', 'a three act English play', 'George Bernard Shaw']",2,5,3,7,3,3,0.9092278480529784,True,"['the play Major Barbara', 'George Bernard Shaw']","['Major Barbara', 'George Bernard Shaw']",['1856'],"['1907', '1905']",[],['three'],0.5,0.5796562433242798,0.499178797006607,0.4958938658237457,0,1,"{'claim_temporal': ['in 1856'], 'evidence_temporal': ['written and premiered in 1905', 'first published in 1907'], 'general_facts_justification': 'The evidence states that Major Barbara was written and premiered in 1905, which contradicts the claim that it was written in 1856.', 'general_facts_label': 'REFUTES', 'relevant_evidence': ['Major Barbara is a three act English play by George Bernard Shaw, written and premiered in 1905 and first published in 1907.'], 'same_entity_justification': 'The claim and evidence both refer to the play Major Barbara by George Bernard Shaw.', 'same_entity_label': True, 'time_justification': 'The evidence states that Major Barbara was written and premiered in 1905, which contradicts the claim that it was written in 1856.', 'time_label': 'REFUTES', 'topic': 'Major Barbara by George Bernard Shaw'}",['in 1856'],"['written and premiered in 1905', 'first published in 1907']","The evidence states that Major Barbara was written and premiered in 1905, which contradicts the claim that it was written in 1856.",REFUTES,"['Major Barbara is a three act English play by George Bernard Shaw, written and premiered in 1905 and first published in 1907.']",The claim and evidence both refer to the play Major Barbara by George Bernard Shaw.,True,"The evidence states that Major Barbara was written and premiered in 1905, which contradicts the claim that it was written in 1856.",REFUTES,Major Barbara by George Bernard Shaw
24388,Alan Ladd died in 1913.,REFUTES,REFUTES,['in 1913'],Alan_Ladd,"Other notable credits include Two Years Before the Mast LRB 1946 RRB , Whispering Smith LRB 1949 RRB and The Great Gatsby LRB 1949 RRB .",Alan Ladd died in 1913.,"Other notable credits include Two Years Before the Mast LRB 1946 RRB, Whispering Smith LRB 1949 RRB and The Great Gatsby LRB 1949 RRB.","['Alan Ladd', '1913']","['Two Years', 'Mast', '1946', 'Whispering Smith', '1949', 'The Great Gatsby', '1949']",0.0367250740528106,0.955692172050476,0.0075828302651643,['Alan Ladd'],['Alan Ladd'],"['Mast', 'Whispering Smith', 'The Great Gatsby']","['Other notable credits', 'Whispering Smith', 'RRB', 'The Great Gatsby']",1,3,2,7,1,4,0.1889993846416473,False,[],[],['1913'],"['two years', '1949', '1946']",[],[],0.1124999999999999,0.0916666666666666,0.2751020193099975,0.6003060340881348,0,0,"{'claim_temporal': ['in 1913'], 'evidence_temporal': ['1946', '1949', '1949'], 'general_facts_justification': ""The evidence lists credits for movies that were released after 1913, the year of Alan Ladd's supposed death, which directly contradicts the claim."", 'general_facts_label': 'REFUTES', 'relevant_evidence': [], 'same_entity_justification': 'The evidence does not mention Alan Ladd, the subject of the claim, and does not provide any information related to his death.', 'same_entity_label': False, 'time_justification': 'The evidence explicitly mentions movies that were released in 1946, 1949, and 1949, which are all after the year 1913 stated in the claim.', 'time_label': 'REFUTES', 'topic': ""Alan Ladd's death""}",['in 1913'],"['1946', '1949', '1949']","The evidence lists credits for movies that were released after 1913, the year of Alan Ladd's supposed death, which directly contradicts the claim.",REFUTES,[],"The evidence does not mention Alan Ladd, the subject of the claim, and does not provide any information related to his death.",False,"The evidence explicitly mentions movies that were released in 1946, 1949, and 1949, which are all after the year 1913 stated in the claim.",REFUTES,Alan Ladd's death
59279,Little Miss Sunshine was filmed over 30 days.,SUPPORTS,NOT ENOUGH INFO,['over 30 days'],Little_Miss_Sunshine,Little Miss Sunshine is a 2006 American comedy drama road film and the directorial debut of the husband wife team of Jonathan Dayton and Valerie Faris .,Little Miss Sunshine was filmed over 30 days.,Little Miss Sunshine is a 2006 American comedy drama road film and the directorial debut of the husband wife team of Jonathan Dayton and Valerie Faris.,"['Sunshine', 'over 30 days']","['Sunshine', '2006', 'American', 'Jonathan Dayton', 'Valerie Faris']",0.0038535511121153,0.9937183856964112,0.0024280331563204,['Sunshine'],['Little Miss Sunshine'],"['Sunshine', 'American', 'Jonathan Dayton', 'Valerie Faris']","['Little Miss Sunshine', 'the directorial debut', 'the husband wife team', 'Jonathan Dayton', 'Valerie Faris']",1,4,2,5,1,5,0.5911755561828613,True,['Little Miss Sunshine'],['Little Miss Sunshine'],['over 30 days'],['2006'],[],[],0.5,0.5,0.3078167140483856,0.2307100296020507,0,0,"{'claim_temporal': ['over 30 days'], 'evidence_temporal': ['2006'], 'general_facts_justification': 'The evidence does not provide any information about the duration of filming of Little Miss Sunshine.', 'general_facts_label': 'NOT ENOUGH INFO', 'relevant_evidence': [], 'same_entity_justification': 'The evidence talks about the movie Little Miss Sunshine and its production team, while the claim is about the duration of filming. There is no clear indication that the claim and evidence refer to the same entity.', 'same_entity_label': False, 'time_justification': 'The evidence states that Little Miss Sunshine is a 2006 movie, which matches the time frame mentioned in the claim.', 'time_label': 'SUPPORTS', 'topic': 'Little Miss Sunshine movie production'}",['over 30 days'],['2006'],The evidence does not provide any information about the duration of filming of Little Miss Sunshine.,NOT ENOUGH INFO,[],"The evidence talks about the movie Little Miss Sunshine and its production team, while the claim is about the duration of filming. There is no clear indication that the claim and evidence refer to the same entity.",False,"The evidence states that Little Miss Sunshine is a 2006 movie, which matches the time frame mentioned in the claim.",SUPPORTS,Little Miss Sunshine movie production
15180,Life Is Peachy was released in October.,SUPPORTS,SUPPORTS,['in October'],Life_Is_Peachy,"Life Is Peachy is the second studio album by the American nu metal band Korn , released on October 15 , 1996 through both Immortal Records and Epic Records .",Life Is Peachy was released in October.,"Life Is Peachy is the second studio album by the American nu metal band Korn, released on October 15, 1996 through both Immortal Records and Epic Records.",['October'],"['second', 'American', 'Korn', 'October 15, 1996', 'Immortal Records', 'Epic Records']",0.0010278413537889,0.9918199777603148,0.0071522770449519,[],['Life'],"['second', 'American', 'Korn', 'Immortal Records', 'Epic Records']","['Life', 'Peachy', 'the second studio album', 'the American nu metal band Korn', 'October', 'both Immortal Records', 'Epic Records']",0,5,1,6,1,7,0.7408587336540222,True,['Life Is Peachy'],['Life Is Peachy'],['october'],['october 15 1996'],[],[],0.0,0.5,0.5,1.0,0,0,"{'claim_temporal': ['in October'], 'evidence_temporal': ['released on October 15, 1996'], 'general_facts_justification': ""The evidence directly supports the claim by stating that 'Life Is Peachy' is the second studio album by Korn and was released in October, which matches the claim."", 'general_facts_label': 'SUPPORTS', 'relevant_evidence': ['Life Is Peachy is the second studio album by the American nu metal band Korn, released on October 15, 1996'], 'same_entity_justification': ""The claim and evidence both refer to the album 'Life Is Peachy' by the band Korn."", 'same_entity_label': True, 'time_justification': ""The evidence states that 'Life Is Peachy' was released on October 15, 1996, which matches the temporal information in the claim."", 'time_label': 'SUPPORTS', 'topic': 'Music'}",['in October'],"['released on October 15, 1996']","The evidence directly supports the claim by stating that 'Life Is Peachy' is the second studio album by Korn and was released in October, which matches the claim.",SUPPORTS,"['Life Is Peachy is the second studio album by the American nu metal band Korn, released on October 15, 1996']",The claim and evidence both refer to the album 'Life Is Peachy' by the band Korn.,True,"The evidence states that 'Life Is Peachy' was released on October 15, 1996, which matches the temporal information in the claim.",SUPPORTS,Music
64065,Terminator Salvation stars someone born in the 1970s.,SUPPORTS,SUPPORTS,['in the 1970s'],Christian_Bale,Christian Charles Philip Bale LRB born 30 January 1974 RRB is an English actor .,Terminator Salvation stars someone born in the 1970s.,Christian Charles Philip Bale LRB born 30 January 1974 RRB is an English actor.,['the 1970s'],"['Christian Charles Philip Bale', '30 January 1974', 'English']",0.0103591317310929,0.9682791233062744,0.021361656486988,[],"['Terminator Salvation', 'someone']","['Christian Charles Philip Bale', 'English']","['Christian Charles Philip Bale LRB', 'RRB', 'an English actor']",0,2,1,3,2,3,0.2932753562927246,True,['someone born in the 1970s'],['Christian Charles Philip Bale LRB born 30 January 1974 RRB'],['the 1970s'],['30 january 1974'],[],[],0.0,0.1960713118314743,0.386487603187561,0.386487603187561,0,0,"{'claim_temporal': ['born in the 1970s'], 'evidence_temporal': ['born 30 January 1974'], 'general_facts_justification': 'The evidence confirms that Christian Bale, who was born in 1974, is an actor.', 'general_facts_label': 'SUPPORTS', 'relevant_evidence': ['Christian Charles Philip Bale (born 30 January 1974) is an English actor.'], 'same_entity_justification': 'The evidence mentions Christian Bale, who is the star of Terminator Salvation.', 'same_entity_label': True, 'time_justification': ""The evidence explicitly states that Christian Bale was born in 1974, which matches the claim's statement about the star of Terminator Salvation being born in the 1970s."", 'time_label': 'SUPPORTS', 'topic': 'Terminator Salvation'}",['born in the 1970s'],['born 30 January 1974'],"The evidence confirms that Christian Bale, who was born in 1974, is an actor.",SUPPORTS,['Christian Charles Philip Bale (born 30 January 1974) is an English actor.'],"The evidence mentions Christian Bale, who is the star of Terminator Salvation.",True,"The evidence explicitly states that Christian Bale was born in 1974, which matches the claim's statement about the star of Terminator Salvation being born in the 1970s.",SUPPORTS,Terminator Salvation
36391,"In 1991, Jeremy Allen White was born.",SUPPORTS,SUPPORTS,['In 1991'],Jeremy_Allen_White,"Jeremy Allen White LRB born February 17 , 1991 RRB is an American film and television actor .","In 1991, Jeremy Allen White was born.","Jeremy Allen White LRB born February 17, 1991 RRB is an American film and television actor.","['1991', 'Jeremy Allen White']","['Jeremy Allen White', 'February 17, 1991', 'American']",0.0020155142992734,0.9866922497749328,0.0112922228872776,['Jeremy Allen White'],['Jeremy Allen White'],"['Jeremy Allen White', 'American']","['Jeremy Allen White LRB', 'RRB', 'an American film and television actor']",1,2,2,3,1,3,0.7575185298919678,True,['Jeremy Allen White'],"['Jeremy Allen White LRB born February 17, 1991 RRB']",['1991'],['february 17 1991'],[],[],0.5,0.5,0.625,1.0,0,0,"{'claim_temporal': ['In 1991'], 'evidence_temporal': ['February 17, 1991'], 'general_facts_justification': 'The evidence confirms that Jeremy Allen White is an American actor, which supports the claim that he was born in 1991.', 'general_facts_label': 'SUPPORTS', 'relevant_evidence': ['Jeremy Allen White LRB born February 17, 1991 RRB is an American film and television actor.'], 'same_entity_justification': 'The claim and evidence both refer to Jeremy Allen White, an American actor who was born in 1991.', 'same_entity_label': True, 'time_justification': 'The evidence explicitly states that Jeremy Allen White was born on February 17, 1991, which matches the claim that he was born in 1991.', 'time_label': 'SUPPORTS', 'topic': ""Jeremy Allen White's birthdate and profession""}",['In 1991'],"['February 17, 1991']","The evidence confirms that Jeremy Allen White is an American actor, which supports the claim that he was born in 1991.",SUPPORTS,"['Jeremy Allen White LRB born February 17, 1991 RRB is an American film and television actor.']","The claim and evidence both refer to Jeremy Allen White, an American actor who was born in 1991.",True,"The evidence explicitly states that Jeremy Allen White was born on February 17, 1991, which matches the claim that he was born in 1991.",SUPPORTS,Jeremy Allen White's birthdate and profession
45948,Richard Ramirez terrorized residents from June 1984 until August 1985.,SUPPORTS,NOT ENOUGH INFO,['from June 1984 until August 1985'],Richard_Ramirez,"Ricardo Leyva Muñoz Ramírez , known as Richard Ramirez LRB February 29 , 1960 June 7 , 2013 RRB , was an American serial killer , rapist , and burglar .",Richard Ramirez terrorized residents from June 1984 until August 1985.,"Ricardo Leyva Muoz Ramrez, known as Richard Ramirez LRB February 29, 1960 June 7, 2013 RRB, was an American serial killer, rapist, and burglar.","['Richard Ramirez', 'June 1984', 'August 1985']","['Leyva Muoz Ramrez', 'Richard Ramirez', 'February 29, 1960 June 7, 2013', 'American']",0.0504552125930786,0.9406450986862184,0.0088996933773159,['Richard Ramirez'],"['Richard Ramirez', 'residents', 'June', 'August']","['Leyva Muoz Ramrez', 'Richard Ramirez', 'American']","['Ricardo Leyva Muoz Ramrez', 'Richard Ramirez', 'February', '2013 RRB', 'an American serial killer', 'rapist', 'burglar']",1,3,3,4,4,7,0.4893386363983154,True,['Richard Ramirez'],"['Ricardo Leyva Muoz Ramrez, known as Richard Ramirez LRB February 29, 1960 June 7, 2013 RRB']","['august 1985', 'june 1984']",['february 29 1960 june 7 2013'],[],[],0.5,0.2939276099205017,0.4667437076568603,0.6900457143783569,0,0,"{'claim_temporal': ['from June 1984 until August 1985'], 'evidence_temporal': ['February 29, 1960', 'June 7, 2013'], 'general_facts_justification': 'The evidence does not provide any information about the crimes committed by Richard Ramirez or any other relevant information related to the claim.', 'general_facts_label': 'NOT ENOUGH INFORMATION', 'relevant_evidence': [], 'same_entity_justification': 'The evidence mentions Richard Ramirez, who is the same person as the Richard Ramirez mentioned in the claim, despite using his full name and birth and death dates.', 'same_entity_label': True, 'time_justification': 'The evidence mentions the birth and death dates of Richard Ramirez, which fall within the time frame mentioned in the claim from June 1984 until August 1985.', 'time_label': 'SUPPORTS', 'topic': ""Richard Ramirez's crimes""}",['from June 1984 until August 1985'],"['February 29, 1960', 'June 7, 2013']",The evidence does not provide any information about the crimes committed by Richard Ramirez or any other relevant information related to the claim.,NOT ENOUGH INFORMATION,[],"The evidence mentions Richard Ramirez, who is the same person as the Richard Ramirez mentioned in the claim, despite using his full name and birth and death dates.",True,"The evidence mentions the birth and death dates of Richard Ramirez, which fall within the time frame mentioned in the claim from June 1984 until August 1985.",SUPPORTS,Richard Ramirez's crimes
64098,Charles Woodruff Yost died on November.,REFUTES,REFUTES,['on November'],Charles_Woodruff_Yost,"Charles Woodruff Yost LRB November 6 , 1907 May 21 , 1981 RRB was a career U.S. diplomat who was assigned as his country 's representative to the United Nations from 1969 to 1971 .",Charles Woodruff Yost died on November.,"Charles Woodruff Yost LRB November 6, 1907 May 21, 1981 RRB was a career U.S. diplomat who was assigned as his country s representative to the United Nations from 1969 to 1971.","['Charles Woodruff Yost', 'November']","['Charles Woodruff Yost', 'November 6, 1907', 'May 21, 1981', 'U.S.', 'the United Nations', '1969', '1971']",0.0112245930358767,0.97899329662323,0.0097820749506354,['Charles Woodruff Yost'],['Charles Woodruff Yost'],"['Charles Woodruff Yost', 'U.S.', 'the United Nations']","['Charles Woodruff Yost', 'RRB', 'a career U.S. diplomat', 'who', 'his country s representative', 'the United Nations']",1,3,2,7,1,6,0.5058417916297913,True,['Charles Woodruff Yost'],"['Charles Woodruff Yost LRB November 6, 1907 May 21, 1981 RRB', 'his']",['november'],"['november 6 1907 may 21 1981', '1969', '1971']",[],[],0.5,0.5,0.5,1.0,0,0,"{'claim_temporal': ['on November'], 'evidence_temporal': ['November 6, 1907', 'May 21, 1981'], 'general_facts_justification': 'The evidence provides biographical information about Charles Woodruff Yost, which supports the claim that he died on November.', 'general_facts_label': 'SUPPORTS', 'relevant_evidence': ['Charles Woodruff Yost... was assigned as his country s representative to the United Nations from 1969 to 1971.'], 'same_entity_justification': 'The claim and evidence both refer to Charles Woodruff Yost.', 'same_entity_label': True, 'time_justification': 'The evidence explicitly states that Charles Woodruff Yost died on May 21, 1981, which matches the claim that he died in November.', 'time_label': 'SUPPORTS', 'topic': ""Charles Woodruff Yost's death""}",['on November'],"['November 6, 1907', 'May 21, 1981']","The evidence provides biographical information about Charles Woodruff Yost, which supports the claim that he died on November.",SUPPORTS,['Charles Woodruff Yost... was assigned as his country s representative to the United Nations from 1969 to 1971.'],The claim and evidence both refer to Charles Woodruff Yost.,True,"The evidence explicitly states that Charles Woodruff Yost died on May 21, 1981, which matches the claim that he died in November.",SUPPORTS,Charles Woodruff Yost's death
23166,Little Boy failed to ever be dropped.,REFUTES,REFUTES,['ever'],Little_Boy,"`` Little Boy '' was the codename for the atomic bomb dropped on the Japanese city of Hiroshima on 6 August 1945 during World War II by the Boeing B 29 Superfortress Enola Gay , piloted by Colonel Paul W. Tibbets , Jr. , commander of the 509th Composite Group of the United States Army Air Forces .",Little Boy failed to ever be dropped.,"Little Boy was the codename for the atomic bomb dropped on the Japanese city of Hiroshima on 6 August 1945 during World War II by the Boeing B 29 Superfortress Enola Gay, piloted by Colonel Paul W. Tibbets, Jr., commander of the 509th Composite Group of the United States Army Air Forces.",[],"['Japanese', 'Hiroshima', '6 August 1945', 'World War II', 'Boeing', '29', 'Superfortress Enola Gay', 'Paul W. Tibbets', 'the 509th Composite Group', 'the United States']",0.9985525012016296,0.0011076600058004,0.0003398593107704,[],[],"['Japanese', 'Hiroshima', 'World War II', 'Boeing', '29', 'Superfortress Enola Gay', 'Paul W. Tibbets', 'the 509th Composite Group', 'the United States']","['the codename', 'the atomic bomb', 'the Japanese city', 'Hiroshima', '6 August', 'World War II', 'the Boeing B 29 Superfortress Enola Gay', 'Colonel Paul W. Tibbets', 'Jr.', 'commander', 'the 509th Composite Group', 'the United States Army Air Forces']",0,9,0,10,0,12,0.4706154465675354,True,['Little Boy'],['Little Boy'],[],['6 august 1945'],[],['29'],0.0,0.0,0.0,0.0,0,1,"{'claim_temporal': [], 'evidence_temporal': ['on 6 August 1945', 'during World War II'], 'general_facts_justification': 'The evidence states that Little Boy was dropped on Hiroshima on August 6, 1945, which contradicts the claim that Little Boy failed to ever be dropped.', 'general_facts_label': 'REFUTES', 'relevant_evidence': ['Little Boy was the codename for the atomic bomb dropped on the Japanese city of Hiroshima on 6 August 1945'], 'same_entity_justification': ""The claim and evidence both refer to 'Little Boy', which is the codename for the atomic bomb dropped on Hiroshima."", 'same_entity_label': True, 'time_justification': 'The evidence explicitly states that Little Boy was dropped on August 6, 1945, which matches the date in the claim.', 'time_label': 'SUPPORTS', 'topic': 'Atomic bombing of Hiroshima'}",[],"['on 6 August 1945', 'during World War II']","The evidence states that Little Boy was dropped on Hiroshima on August 6, 1945, which contradicts the claim that Little Boy failed to ever be dropped.",REFUTES,['Little Boy was the codename for the atomic bomb dropped on the Japanese city of Hiroshima on 6 August 1945'],"The claim and evidence both refer to 'Little Boy', which is the codename for the atomic bomb dropped on Hiroshima.",True,"The evidence explicitly states that Little Boy was dropped on August 6, 1945, which matches the date in the claim.",SUPPORTS,Atomic bombing of Hiroshima
50795,"Quentin Tarantino was born on March 27, 1963.",SUPPORTS,NOT ENOUGH INFO,"['on March 27 , 1963']",Quentin_Tarantino,"Tarantino directed Death Proof LRB 2007 RRB as part of a double feature with friend Robert Rodriguez , under the collective title Grindhouse .","Quentin Tarantino was born on March 27, 1963.","Tarantino directed Death Proof LRB 2007 RRB as part of a double feature with friend Robert Rodriguez, under the collective title Grindhouse.","['Quentin Tarantino', 'March 27, 1963']","['Death Proof', '2007', 'Robert Rodriguez', 'Grindhouse']",0.1786035746335983,0.8106994032859802,0.0106969969347119,['Quentin Tarantino'],"['Quentin Tarantino', 'March']","['Death Proof', 'Robert Rodriguez', 'Grindhouse']","['Tarantino', 'Death Proof', 'part', 'a double feature', 'friend Robert Rodriguez', 'the collective title Grindhouse']",1,3,2,4,2,6,0.2342702746391296,True,['Quentin Tarantino'],['Tarantino'],['march 27 1963'],['2007'],[],[],0.1269841269841269,0.3074074074074074,0.2122592031955719,0.3492070734500885,0,0,"{'claim_temporal': ['March 27, 1963'], 'evidence_temporal': ['2007'], 'general_facts_justification': ""The evidence does not provide any information related to Quentin Tarantino's birthdate, so it cannot support or refute the claim."", 'general_facts_label': 'NOT ENOUGH INFORMATION', 'relevant_evidence': [], 'same_entity_justification': 'The evidence mentions Tarantino, who is the same person mentioned in the claim.', 'same_entity_label': True, 'time_justification': ""The evidence mentions the year 2007, which is not directly related to Tarantino's birthdate, but it does not contradict the claim either."", 'time_label': 'SUPPORTS', 'topic': ""Quentin Tarantino's career in film""}","['March 27, 1963']",['2007'],"The evidence does not provide any information related to Quentin Tarantino's birthdate, so it cannot support or refute the claim.",NOT ENOUGH INFORMATION,[],"The evidence mentions Tarantino, who is the same person mentioned in the claim.",True,"The evidence mentions the year 2007, which is not directly related to Tarantino's birthdate, but it does not contradict the claim either.",SUPPORTS,Quentin Tarantino's career in film
62982,Above the Law was released in 1988 in America.,SUPPORTS,SUPPORTS,['in 1988'],Above_the_Law_-LRB-film-RRB-,"The film was released in the United States on April 8 , 1988 .",Above the Law was released in 1988 in America.,"The film was released in the United States on April 8, 1988.","['Law', '1988', 'America']","['the United States', 'April 8, 1988']",0.0012587015517055,0.9959073066711426,0.0028340157587081,"['Law', 'America']","['the Law', 'America']",['the United States'],"['The film', 'the United States', 'April']",2,1,3,2,2,3,0.6421822309494019,True,"['Above the Law', 'America']","['The film', 'the United States']",['1988'],['april 8 1988'],[],[],0.0773809523809523,0.432539701461792,0.432539701461792,1.0,0,0,"{'claim_temporal': ['in 1988', 'in America'], 'evidence_temporal': ['on April 8, 1988', 'in the United States'], 'general_facts_justification': ""The evidence supports the claim as it provides the same information that the movie 'Above the Law' was released in the United States in 1988."", 'general_facts_label': 'SUPPORTS', 'relevant_evidence': ['The film was released in the United States on April 8, 1988.'], 'same_entity_justification': ""Both the claim and evidence are referring to the same entity, which is the movie 'Above the Law'."", 'same_entity_label': True, 'time_justification': 'The evidence directly mentions that the movie was released on April 8, 1988, which exactly matches the year mentioned in the claim.', 'time_label': 'SUPPORTS', 'topic': 'Above the Law movie release in the United States in 1988'}","['in 1988', 'in America']","['on April 8, 1988', 'in the United States']",The evidence supports the claim as it provides the same information that the movie 'Above the Law' was released in the United States in 1988.,SUPPORTS,"['The film was released in the United States on April 8, 1988.']","Both the claim and evidence are referring to the same entity, which is the movie 'Above the Law'.",True,"The evidence directly mentions that the movie was released on April 8, 1988, which exactly matches the year mentioned in the claim.",SUPPORTS,Above the Law movie release in the United States in 1988
10150,Jean-Martin Charcot was born after World War 1.,REFUTES,REFUTES,['after World War 1'],World_War_I,"World War I LRB WWI or WW1 RRB , also known as the First World War , the Great War , or the War to End All Wars , was a global war originating in Europe that lasted from 28 July 1914 to 11 November 1918 .",Jean-Martin Charcot was born after World War 1.,"World War I LRB WWI or WW1 RRB, also known as the First World War, the Great War, or the War to End All Wars, was a global war originating in Europe that lasted from 28 July 1914 to 11 November 1918.","['Jean-Martin Charcot', 'World War 1']","['World War I', 'the First World War', 'the Great War', 'the War to End All Wars', 'Europe', '28 July 1914 to 11', 'November 1918']",0.0687205344438552,0.8311662077903748,0.1001132652163505,"['Jean-Martin Charcot', 'World War 1']","['Jean-Martin Charcot', 'World War']","['World War I', 'the First World War', 'the Great War', 'the War to End All Wars', 'Europe']","['World War I', 'LRB WWI', 'WW1 RRB', 'the First World War', 'the Great War', 'the War', 'All Wars', 'a global war', 'Europe', 'that', '28 July', '11 November']",2,5,2,7,2,12,0.3376117348670959,False,[],[],[],"['28 july 1914', '11 november 1918']",['1'],[],0.2832321524620056,0.3285714285714285,0.3553545475006103,0.0,1,0,"{'claim_temporal': ['after World War 1'], 'evidence_temporal': ['World War I', 'the First World War', 'the Great War', 'the War to End All Wars', 'from 28 July 1914 to 11 November 1918'], 'general_facts_justification': 'The evidence directly contradicts the claim, which states that Jean-Martin Charcot was born after World War I. The evidence states that World War I took place from 1914-1918, while Jean-Martin Charcot was born in 1825, which is well before the war.', 'general_facts_label': 'REFUTES', 'relevant_evidence': [], 'same_entity_justification': 'The evidence mentions World War I and the claim mentions a person named Jean-Martin Charcot. Although there is no direct mention of Jean-Martin Charcot in the evidence, it is known that he was born in 1825 and therefore after World War I, which took place from 1914-1918. Therefore, the claim and evidence are referring to the same entity.', 'same_entity_label': True, 'time_justification': 'The evidence directly contradicts the claim, which states that Jean-Martin Charcot was born after World War I. The evidence states that World War I took place from 1914-1918, while Jean-Martin Charcot was born in 1825, which is well before the war.', 'time_label': 'REFUTES', 'topic': ""Jean-Martin Charcot's birth and World War I""}",['after World War 1'],"['World War I', 'the First World War', 'the Great War', 'the War to End All Wars', 'from 28 July 1914 to 11 November 1918']","The evidence directly contradicts the claim, which states that Jean-Martin Charcot was born after World War I. The evidence states that World War I took place from 1914-1918, while Jean-Martin Charcot was born in 1825, which is well before the war.",REFUTES,[],"The evidence mentions World War I and the claim mentions a person named Jean-Martin Charcot. Although there is no direct mention of Jean-Martin Charcot in the evidence, it is known that he was born in 1825 and therefore after World War I, which took place from 1914-1918. Therefore, the claim and evidence are referring to the same entity.",True,"The evidence directly contradicts the claim, which states that Jean-Martin Charcot was born after World War I. The evidence states that World War I took place from 1914-1918, while Jean-Martin Charcot was born in 1825, which is well before the war.",REFUTES,Jean-Martin Charcot's birth and World War I
19755,Miss Peregrine's Home for Peculiar Children was originally conceived of as a book.,SUPPORTS,SUPPORTS,['originally'],Miss_Peregrine's_Home_for_Peculiar_Children,"This young adult book was originally intended to be a picture book featuring photographs Riggs had collected , but on the advice of an editor at Quirk Books , he used the photographs as a guide from which to put together a narrative .",Miss Peregrine s Home for Peculiar Children was originally conceived of as a book.,"This young adult book was originally intended to be a picture book featuring photographs Riggs had collected, but on the advice of an editor at Quirk Books, he used the photographs as a guide from which to put together a narrative.",['Peregrine'],"['Riggs', 'Quirk Books']",0.6011004447937012,0.3953865766525268,0.0035130069591104,['Peregrine'],"['Miss Peregrine s Home', 'Peculiar Children', 'a book']","['Riggs', 'Quirk Books']","['This young adult book', 'a picture book', 'photographs', 'Riggs', 'the advice', 'an editor', 'Quirk Books', 'he', 'the photographs', 'a guide', 'which', 'a narrative']",1,2,1,2,3,12,0.320540189743042,True,['Miss Peregrine s Home for Peculiar Children'],"['This young adult book', 'Riggs', 'he', 'photographs Riggs had collected', 'the photographs']",[],[],[],[],0.0555555555555555,0.3684731125831604,0.0555555555555555,0.5,0,0,"{'claim_temporal': [], 'evidence_temporal': [], 'general_facts_justification': ""The evidence supports the claim by stating that Miss Peregrine's Home for Peculiar Children was originally intended to be a picture book featuring photographs Riggs had collected, but on the advice of an editor at Quirk Books, he used the photographs as a guide from which to put together a narrative."", 'general_facts_label': 'SUPPORTS', 'relevant_evidence': [""Miss Peregrine's Home for Peculiar Children was originally intended to be a picture book featuring photographs Riggs had collected, but on the advice of an editor at Quirk Books, he used the photographs as a guide from which to put together a narrative.""], 'same_entity_justification': ""The evidence talks about the origin of Miss Peregrine's Home for Peculiar Children, which is the same entity as mentioned in the claim."", 'same_entity_label': True, 'time_justification': ""The evidence does not provide any information related to the time, date or duration of Miss Peregrine's Home for Peculiar Children."", 'time_label': 'NOT ENOUGH INFO', 'topic': ""Miss Peregrine's Home for Peculiar Children""}",[],[],"The evidence supports the claim by stating that Miss Peregrine's Home for Peculiar Children was originally intended to be a picture book featuring photographs Riggs had collected, but on the advice of an editor at Quirk Books, he used the photographs as a guide from which to put together a narrative.",SUPPORTS,"[""Miss Peregrine's Home for Peculiar Children was originally intended to be a picture book featuring photographs Riggs had collected, but on the advice of an editor at Quirk Books, he used the photographs as a guide from which to put together a narrative.""]","The evidence talks about the origin of Miss Peregrine's Home for Peculiar Children, which is the same entity as mentioned in the claim.",True,"The evidence does not provide any information related to the time, date or duration of Miss Peregrine's Home for Peculiar Children.",NOT ENOUGH INFO,Miss Peregrine's Home for Peculiar Children
